unique_id,Unnamed: 0,AutoARIMA,AutoTheta,AutoETS,CES,MSTL,SeasonalNaive,WindowAverage,SeasWA,Naive,prophet,best_model
22_CPU,1048257788304.7423,259298822025.04733,276114744460.87427,302175242000.3375,866876060112.4264,281295809469.0925,313752988807.43024,285830650210.5719,313752988807.43024,350025689216.5758,237055077833.0511,prophet
230_CPU,63422678795.39182,2386173292.6349716,2352428033.9488945,2389058017.782106,11487200892.78282,2368138847.478425,2486246277.5105367,2433358326.4356203,2486246277.5105367,2403726648.929448,3183661891.942521,AutoTheta
231_CPU,294442523285.6295,13120783336.045797,11844859382.184626,12286033020.05532,11143766985.76036,11394388066.349886,12754638236.813541,71370770315.61957,12754638236.813541,70347376635.15689,52177160434.313675,CES
232_CPU,2892079934579.1284,2891721574385.7207,2905682210711.23,2849857291288.1016,3036430601690.2734,4405378729926.071,2897778094881.78,2481104146689.724,2897778094881.78,2851699193031.6074,2437717258971.9604,prophet
233_CPU,3089484563275.738,3093302952460.083,3047219643830.0815,3047218040410.5737,3246617873191.1553,4606104994329.377,2856408578610.5317,2674446233019.1924,2856408578610.5317,3048327809230.8296,7551819839198.307,WindowAverage
234_CPU,3324039341189.901,3321725307661.5005,3610518124485.623,3153662409143.3066,3466968916870.0005,4616140177529.177,3189741029684.833,2901663956767.9136,3189741029684.833,3091385674339.683,2734346715572.6914,prophet
235_CPU,2442382251644.128,2442265349124.4966,2288224783887.235,2377747251307.5557,2576662231692.1504,2265903794664.816,2401308875292.2217,2396283689410.615,2401308875292.2217,2407184162465.7417,3805339243517.489,MSTL
236_CPU,2725113806370.536,123594037860.71498,124682287403.12842,123703339795.26729,836118424988.0728,128684420661.02449,162237712350.9032,131563903778.92671,162237712350.9032,124429861276.72198,129110611053.31068,AutoARIMA
237_CPU,4430553197387.533,4408617336647.707,788504110270.667,851577623594.2692,1065746687029.1865,796890167943.2598,1472933521646.9263,766167250134.9697,1472933521646.9263,1843329618440.5542,701053599045.7336,prophet
238_CPU,64288402.065565154,68536791.84021966,26853842.31897738,25941343.459403288,26503560.43164664,28217724.367162798,39460836.592396,26531233.05952228,39460836.592396,69144348.01362203,26817762.195237033,AutoETS
